,#,team,gp,w,l,win%,min,efg%,"fta
rate",tov%,oreb%,"opp
efg%","opp
fta rate","opp
tov%","opp
oreb%",season
24,25,Atlanta Hawks,82,28,54,.341,3966,46.0,0.292,16.4,33.4,48.1,0.254,13.0,30.2,'99-00
25,26,Vancouver Grizzlies,82,22,60,.268,3971,47.4,0.320,18.1,32.6,50.2,0.301,16.1,32.1,'99-00
26,27,Golden State Warriors,82,19,63,.232,3951,44.4,0.301,16.3,34.6,49.9,0.344,16.7,32.7,'99-00
27,28,Chicago Bulls,82,17,65,.207,3961,44.3,0.338,20.8,33.1,48.4,0.324,16.6,32.4,'99-00
28,29,Los Angeles Clippers,82,15,67,.183,3940,45.8,0.270,16.9,28.6,50.7,0.297,14.9,32.6,'99-00
0,1,San Antonio Spurs,82,58,24,.707,3966,49.6,0.374,15.2,29.7,44.4,0.246,14.8,29.7,'00-01
1,2,Los Angeles Lakers,82,56,26,.683,3981,49.8,0.349,15.4,33.8,46.8,0.310,13.9,30.9,'00-01
2,2,Philadelphia 76ers,82,56,26,.683,3971,46.8,0.351,17.0,33.4,46.0,0.248,16.6,29.6,'00-01
3,4,Sacramento Kings,82,55,27,.671,4016,48.4,0.298,15.2,30.7,46.0,0.241,16.7,32.1,'00-01
4,5,Dallas Mavericks,82,53,29,.646,3961,49.8,0.291,14.6,27.2,46.7,0.333,16.3,32.2,'00-01
5,5,Utah Jazz,82,53,29,.646,3956,49.7,0.363,17.3,33.2,47.3,0.394,17.6,29.9,'00-01
6,7,Milwaukee Bucks,82,52,30,.634,3956,49.9,0.276,14.5,30.1,47.3,0.330,16.4,31.7,'00-01
7,8,Phoenix Suns,82,51,31,.622,3961,46.0,0.292,16.1,30.5,46.0,0.331,18.4,29.8,'00-01
8,9,Miami Heat,82,50,32,.610,3976,46.9,0.299,15.3,28.0,46.0,0.290,17.4,30.0,'00-01
9,9,Portland Trail Blazers,82,50,32,.610,3956,49.7,0.296,16.8,33.3,47.0,0.300,16.3,30.0,'00-01
10,11,New York Knicks,82,48,34,.585,3981,47.6,0.279,16.3,27.6,45.3,0.327,16.7,29.3,'00-01
11,12,Minnesota Timberwolves,82,47,35,.573,3966,48.2,0.253,14.8,31.5,47.8,0.328,16.2,31.8,'00-01
12,12,Toronto Raptors,82,47,35,.573,3991,46.8,0.285,14.1,33.9,47.6,0.281,15.1,30.0,'00-01
13,14,Charlotte Hornets,82,46,36,.561,3976,45.7,0.330,15.6,31.5,45.6,0.294,15.9,29.0,'00-01
14,15,Houston Rockets,82,45,37,.549,3966,49.2,0.321,15.9,30.5,47.5,0.277,14.4,30.9,'00-01
15,16,Seattle SuperSonics,82,44,38,.537,3961,49.1,0.299,16.4,32.1,48.8,0.269,16.0,33.2,'00-01
16,17,Orlando Magic,82,43,39,.524,3991,47.4,0.301,15.9,32.1,46.4,0.395,18.0,33.8,'00-01
17,18,Indiana Pacers,82,41,41,.500,3996,47.1,0.312,16.4,29.7,45.2,0.310,14.7,31.5,'00-01
18,19,Denver Nuggets,82,40,42,.488,3956,47.0,0.286,14.7,30.6,47.6,0.296,13.9,31.0,'00-01
19,20,Boston Celtics,82,36,46,.439,3966,47.3,0.338,16.6,28.0,49.3,0.341,18.1,31.0,'00-01
20,21,Detroit Pistons,82,32,50,.390,3971,45.3,0.325,16.4,32.5,46.6,0.317,16.0,30.9,'00-01
21,22,Los Angeles Clippers,82,31,51,.378,4006,47.6,0.319,17.1,32.2,46.6,0.292,13.8,31.8,'00-01
22,23,Cleveland Cavaliers,82,30,52,.366,3966,45.9,0.312,17.7,33.1,47.7,0.323,16.1,32.2,'00-01
23,24,New Jersey Nets,82,26,56,.317,3946,45.2,0.328,15.7,29.2,48.8,0.346,17.0,32.7,'00-01
24,25,Atlanta Hawks,82,25,57,.305,3946,45.6,0.272,17.8,31.3,47.2,0.326,15.7,30.9,'00-01
25,26,Vancouver Grizzlies,82,23,59,.280,3956,46.4,0.289,16.8,29.3,49.1,0.265,15.9,32.5,'00-01
26,27,Washington Wizards,82,19,63,.232,3936,46.0,0.348,18.1,32.8,50.3,0.317,15.9,31.6,'00-01
27,28,Golden State Warriors,82,17,65,.207,3956,42.9,0.282,16.5,35.7,50.4,0.298,17.1,32.0,'00-01
28,29,Chicago Bulls,82,15,67,.183,3971,45.0,0.298,17.3,30.2,49.9,0.348,16.3,32.7,'00-01
0,1,Sacramento Kings,82,61,21,.744,3951,49.7,0.308,14.2,30.6,46.7,0.248,15.6,31.0,'01-02
1,2,Los Angeles Lakers,82,58,24,.707,3956,49.8,0.313,13.5,31.1,45.3,0.306,14.9,31.4,'01-02
2,2,San Antonio Spurs,82,58,24,.707,3971,49.2,0.353,15.7,30.1,45.3,0.244,15.8,31.5,'01-02
3,4,Dallas Mavericks,82,57,25,.695,3976,50.7,0.288,12.7,28.5,48.5,0.319,14.8,31.7,'01-02
4,5,New Jersey Nets,82,52,30,.634,3966,47.6,0.280,15.4,32.2,45.9,0.283,17.1,31.7,'01-02
5,6,Detroit Pistons,82,50,32,.610,3936,49.7,0.310,15.9,27.7,47.4,0.273,17.0,32.4,'01-02
6,6,Minnesota Timberwolves,82,50,32,.610,3961,49.0,0.255,14.5,34.3,48.2,0.294,14.5,29.7,'01-02
7,8,Boston Celtics,82,49,33,.598,3966,47.6,0.291,14.4,27.2,46.4,0.318,17.3,30.5,'01-02
8,8,Portland Trail Blazers,82,49,33,.598,3966,48.5,0.285,15.7,34.5,48.9,0.272,16.1,29.7,'01-02
9,10,Seattle SuperSonics,82,45,37,.549,3966,50.5,0.250,15.1,32.0,48.5,0.279,16.8,34.4,'01-02
10,11,Charlotte Hornets,82,44,38,.537,3951,46.6,0.320,15.4,33.3,46.5,0.294,15.2,31.1,'01-02
11,11,Orlando Magic,82,44,38,.537,3966,49.3,0.278,14.3,29.2,48.6,0.292,16.6,33.5,'01-02
12,11,Utah Jazz,82,44,38,.537,3966,47.2,0.381,17.8,36.2,48.4,0.371,18.1,31.7,'01-02
13,14,Philadelphia 76ers,82,43,39,.524,3946,45.2,0.327,16.9,34.1,46.0,0.277,16.3,29.8,'01-02
14,15,Indiana Pacers,82,42,40,.512,3981,47.7,0.328,16.2,30.2,46.9,0.303,15.2,31.4,'01-02
15,15,Toronto Raptors,82,42,40,.512,3951,46.3,0.255,15.8,34.3,47.1,0.315,16.9,32.9,'01-02
16,17,Milwaukee Bucks,82,41,41,.500,3981,50.7,0.269,15.2,28.7,47.7,0.287,13.9,32.1,'01-02
17,18,Los Angeles Clippers,82,39,43,.476,3961,47.6,0.304,16.1,34.9,47.7,0.260,14.0,32.7,'01-02
18,19,Washington Wizards,82,37,45,.451,3946,46.4,0.280,14.4,32.8,48.4,0.283,14.8,31.5,'01-02
19,20,Miami Heat,82,36,46,.439,3986,46.3,0.268,16.6,29.7,45.5,0.339,15.4,29.0,'01-02
20,20,Phoenix Suns,82,36,46,.439,3966,47.2,0.235,15.7,32.7,47.6,0.302,16.5,32.8,'01-02
21,22,Atlanta Hawks,82,33,49,.402,3956,47.1,0.294,16.6,29.7,49.5,0.293,16.1,31.1,'01-02
22,23,New York Knicks,82,30,52,.366,3961,46.8,0.274,15.9,29.2,47.9,0.312,14.7,31.6,'01-02
23,24,Cleveland Cavaliers,82,29,53,.354,3971,47.7,0.301,15.8,31.9,49.3,0.302,14.1,31.0,'01-02
24,25,Houston Rockets,82,28,54,.341,3996,46.5,0.286,15.5,32.7,49.1,0.236,13.3,32.5,'01-02
25,26,Denver Nuggets,82,27,55,.329,3961,45.5,0.256,16.0,34.1,49.2,0.328,15.6,33.2,'01-02
26,27,Memphis Grizzlies,82,23,59,.280,3956,46.2,0.288,17.6,30.5,48.6,0.262,15.8,33.7,'01-02
27,28,Chicago Bulls,82,21,61,.256,3961,45.6,0.302,16.6,29.8,49.7,0.321,15.6,31.5,'01-02
28,28,Golden State Warriors,82,21,61,.256,3956,45.2,0.335,17.5,37.3,48.8,0.304,14.9,33.1,'01-02
0,1,Dallas Mavericks,82,60,22,.732,3956,49.8,0.257,12.3,27.7,47.3,0.304,17.0,32.3,'02-03
1,1,San Antonio Spurs,82,60,22,.732,3966,49.7,0.348,17.1,31.1,45.3,0.259,16.3,31.3,'02-03
2,3,Sacramento Kings,82,59,23,.720,3966,49.9,0.262,14.9,28.9,44.6,0.275,15.8,32.2,'02-03
3,4,Minnesota Timberwolves,82,51,31,.622,3961,48.8,0.268,14.6,31.0,47.2,0.270,14.5,30.5,'02-03
4,5,Detroit Pistons,82,50,32,.610,3981,47.3,0.322,15.1,29.4,46.1,0.302,15.7,29.3,'02-03
5,5,Los Angeles Lakers,82,50,32,.610,3986,48.6,0.311,15.3,32.8,47.7,0.317,15.3,30.7,'02-03
6,5,Portland Trail Blazers,82,50,32,.610,3970,48.9,0.300,16.7,33.8,48.3,0.254,17.0,31.1,'02-03
7,8,New Jersey Nets,82,49,33,.598,3951,46.8,0.333,15.8,31.7,46.0,0.300,17.8,29.8,'02-03
8,9,Indiana Pacers,82,48,34,.585,3981,46.9,0.344,15.7,31.8,45.8,0.298,16.4,30.6,'02-03
9,9,Philadelphia 76ers,82,48,34,.585,3971,46.6,0.339,15.8,32.4,48.8,0.320,18.2,29.6,'02-03
10,11,New Orleans Hornets,82,47,35,.573,3981,46.5,0.285,16.1,34.5,46.4,0.295,15.9,30.3,'02-03
11,11,Utah Jazz,82,47,35,.573,3956,48.6,0.380,18.4,35.3,46.8,0.338,17.4,32.7,'02-03
12,13,Boston Celtics,82,44,38,.537,3966,47.0,0.306,15.1,26.6,47.1,0.323,17.3,30.9,'02-03
13,13,Phoenix Suns,82,44,38,.537,3961,47.3,0.285,15.8,32.3,47.0,0.290,17.1,32.8,'02-03
14,15,Houston Rockets,82,43,39,.524,3986,47.4,0.316,17.0,33.1,46.2,0.270,14.4,30.2,'02-03
15,16,Milwaukee Bucks,82,42,40,.512,3981,50.0,0.287,13.7,28.7,49.4,0.318,15.5,33.4,'02-03
16,16,Orlando Magic,82,42,40,.512,3961,47.8,0.307,15.1,30.0,48.6,0.326,17.2,32.0,'02-03
17,18,Seattle SuperSonics,82,40,42,.488,3971,47.2,0.270,14.7,31.4,48.4,0.283,16.4,31.2,'02-03
18,19,Golden State Warriors,82,38,44,.463,3951,47.2,0.343,16.4,37.1,48.2,0.290,14.2,33.7,'02-03
19,20,New York Knicks,82,37,45,.451,3971,48.6,0.241,15.1,28.0,48.5,0.339,15.5,31.1,'02-03
20,20,Washington Wizards,82,37,45,.451,3966,46.0,0.325,14.8,30.5,47.7,0.275,15.8,31.4,'02-03
21,22,Atlanta Hawks,82,35,47,.427,3981,47.6,0.313,17.8,30.0,46.9,0.291,13.9,31.9,'02-03
22,23,Chicago Bulls,82,30,52,.366,3985,47.1,0.300,17.7,30.7,47.0,0.351,15.3,32.8,'02-03
23,24,Memphis Grizzlies,82,28,54,.341,3986,48.7,0.287,16.2,30.1,49.1,0.260,15.5,34.1,'02-03
24,25,Los Angeles Clippers,82,27,55,.329,3951,46.7,0.335,17.0,31.6,48.1,0.287,15.1,32.7,'02-03
25,26,Miami Heat,82,25,57,.305,3966,43.9,0.259,15.9,30.6,47.0,0.343,16.0,29.1,'02-03
26,27,Toronto Raptors,82,24,58,.293,3961,45.8,0.282,15.7,31.8,48.9,0.298,15.0,32.2,'02-03
27,28,Cleveland Cavaliers,82,17,65,.207,3966,44.4,0.298,19.1,33.8,48.4,0.327,14.7,30.3,'02-03
28,28,Denver Nuggets,82,17,65,.207,3946,42.8,0.283,20.0,34.5,47.7,0.384,18.5,30.3,'02-03
0,1,Indiana Pacers,82,61,21,.744,3961,47.1,0.319,16.2,32.0,45.9,0.291,17.8,29.4,'03-04
1,2,Minnesota Timberwolves,82,58,24,.707,3951,48.6,0.265,14.0,30.3,44.4,0.286,14.9,30.9,'03-04
2,3,San Antonio Spurs,82,57,25,.695,3951,47.3,0.322,16.2,31.9,43.3,0.289,16.9,29.0,'03-04
3,4,Los Angeles Lakers,82,56,26,.683,3971,48.1,0.352,14.6,31.3,47.1,0.296,16.2,29.9,'03-04
4,5,Sacramento Kings,82,55,27,.671,3956,50.7,0.305,14.6,29.2,48.3,0.257,15.8,32.4,'03-04
5,6,Detroit Pistons,82,54,28,.659,3956,46.1,0.328,16.8,33.2,44.1,0.271,17.8,31.4,'03-04
6,7,Dallas Mavericks,82,52,30,.634,3961,49.5,0.256,12.8,33.5,49.8,0.287,15.9,31.4,'03-04
7,8,Memphis Grizzlies,82,50,32,.610,3976,47.9,0.322,16.0,32.5,46.5,0.328,18.2,34.5,'03-04
8,9,New Jersey Nets,82,47,35,.573,3941,47.1,0.291,16.2,28.9,46.0,0.290,17.7,28.9,'03-04
9,10,Houston Rockets,82,45,37,.549,3986,48.4,0.286,18.6,30.5,44.7,0.316,14.9,29.2,'03-04
10,11,Denver Nuggets,82,43,39,.524,3946,46.7,0.319,16.4,33.7,48.1,0.303,18.0,33.6,'03-04
11,12,Miami Heat,82,42,40,.512,3951,46.3,0.298,15.4,30.7,46.3,0.338,16.4,29.3,'03-04
12,12,Utah Jazz,82,42,40,.512,3956,45.6,0.356,18.8,37.3,46.8,0.414,17.3,30.9,'03-04
13,14,Milwaukee Bucks,82,41,41,.500,3956,47.7,0.330,14.4,30.8,48.5,0.288,15.2,31.0,'03-04
14,14,New Orleans Hornets,82,41,41,.500,3966,46.0,0.293,16.4,33.2,47.6,0.291,17.1,31.9,'03-04
15,14,Portland Trail Blazers,82,41,41,.500,3996,47.8,0.267,16.6,34.4,48.2,0.246,15.4,33.0,'03-04
16,17,New York Knicks,82,39,43,.476,3976,47.4,0.266,17.0,30.7,46.1,0.339,15.0,29.9,'03-04
17,18,Golden State Warriors,82,37,45,.451,3971,47.5,0.311,16.1,31.2,47.6,0.283,15.2,30.6,'03-04
18,18,Seattle SuperSonics,82,37,45,.451,3961,50.1,0.270,15.8,30.2,48.7,0.306,16.1,34.5,'03-04
19,20,Boston Celtics,82,36,46,.439,3941,48.6,0.327,17.2,27.9,47.9,0.325,18.1,34.2,'03-04
20,21,Cleveland Cavaliers,82,35,47,.427,3971,45.1,0.301,16.0,34.0,46.9,0.294,14.1,31.2,'03-04
21,22,Philadelphia 76ers,82,33,49,.402,3971,45.6,0.321,17.7,31.3,46.7,0.311,16.8,31.9,'03-04
22,22,Toronto Raptors,82,33,49,.402,3996,45.4,0.260,15.9,27.0,44.9,0.323,16.3,32.7,'03-04
23,24,Phoenix Suns,82,29,53,.354,3946,47.5,0.280,16.2,29.7,48.2,0.314,16.9,33.9,'03-04
24,25,Atlanta Hawks,82,28,54,.341,3981,46.5,0.303,17.6,30.8,47.6,0.307,15.0,31.4,'03-04
25,25,Los Angeles Clippers,82,28,54,.341,3961,45.3,0.350,17.6,36.2,49.4,0.312,14.7,32.3,'03-04
26,27,Washington Wizards,82,25,57,.305,3966,45.4,0.337,18.6,33.3,48.6,0.278,17.0,33.3,'03-04
27,28,Chicago Bulls,82,23,59,.280,3966,44.6,0.272,17.2,31.1,46.9,0.339,16.2,32.1,'03-04
28,29,Orlando Magic,82,21,61,.256,3966,46.1,0.296,14.8,31.5,50.2,0.289,14.6,34.3,'03-04
0,1,Phoenix Suns,82,62,20,.756,3956,53.4,0.296,14.0,30.4,47.8,0.237,14.1,34.4,'04-05
1,2,Miami Heat,82,59,23,.720,3996,52.4,0.387,14.7,29.7,46.0,0.318,14.2,30.2,'04-05
2,2,San Antonio Spurs,82,59,23,.720,3961,49.2,0.329,15.1,32.1,45.2,0.307,16.7,30.3,'04-05
3,4,Dallas Mavericks,82,58,24,.707,3946,49.2,0.346,14.2,31.9,47.2,0.316,16.5,32.6,'04-05
4,5,Detroit Pistons,82,54,28,.659,3991,47.2,0.335,15.4,34.0,46.1,0.276,15.4,30.7,'04-05
5,6,Seattle SuperSonics,82,52,30,.634,3951,49.5,0.328,15.1,35.7,49.6,0.333,14.8,31.9,'04-05
6,7,Houston Rockets,82,51,31,.622,3971,48.6,0.309,15.2,30.1,45.9,0.329,14.6,28.7,'04-05
7,8,Sacramento Kings,82,50,32,.610,3971,49.6,0.287,13.7,31.5,49.3,0.290,15.4,33.3,'04-05
8,9,Denver Nuggets,82,49,33,.598,3951,48.3,0.350,15.7,31.3,48.2,0.331,17.2,32.2,'04-05
9,10,Chicago Bulls,82,47,35,.573,3966,47.1,0.311,17.8,31.7,45.4,0.352,16.5,30.9,'04-05
10,11,Boston Celtics,82,45,37,.549,3976,50.1,0.357,16.5,30.5,48.1,0.364,16.3,32.9,'04-05
11,11,Memphis Grizzlies,82,45,37,.549,3941,48.9,0.323,16.3,30.8,46.6,0.351,17.7,33.7,'04-05
12,11,Washington Wizards,82,45,37,.549,3956,47.4,0.364,15.0,33.8,49.8,0.301,16.7,33.3,'04-05
13,14,Indiana Pacers,82,44,38,.537,3981,47.6,0.358,16.0,29.6,47.2,0.350,15.5,31.3,'04-05
14,14,Minnesota Timberwolves,82,44,38,.537,3951,48.9,0.275,14.5,32.1,47.2,0.277,12.9,31.8,'04-05
15,16,Philadelphia 76ers,82,43,39,.524,3971,47.5,0.326,16.0,28.1,48.5,0.347,17.4,29.7,'04-05
16,17,Cleveland Cavaliers,82,42,40,.512,3971,47.0,0.325,15.2,35.4,48.5,0.331,16.2,32.6,'04-05
17,17,New Jersey Nets,82,42,40,.512,3981,46.3,0.318,15.5,29.8,47.9,0.374,17.1,29.9,'04-05
18,19,Los Angeles Clippers,82,37,45,.451,4006,47.7,0.357,17.1,33.8,48.0,0.308,14.8,31.3,'04-05
19,20,Orlando Magic,82,36,46,.439,3941,47.8,0.350,16.8,32.8,48.4,0.338,15.1,31.8,'04-05
20,21,Golden State Warriors,82,34,48,.415,3981,47.5,0.278,14.2,30.3,49.1,0.305,16.0,33.4,'04-05
21,21,Los Angeles Lakers,82,34,48,.415,3956,48.5,0.322,15.5,32.4,49.3,0.279,12.7,32.0,'04-05
22,23,New York Knicks,82,33,49,.402,3976,48.5,0.312,15.8,31.6,50.1,0.351,15.7,31.4,'04-05
23,23,Toronto Raptors,82,33,49,.402,3961,49.2,0.316,14.0,26.9,49.9,0.323,15.2,31.8,'04-05
24,25,Milwaukee Bucks,82,30,52,.366,3956,47.5,0.339,14.9,32.2,49.9,0.303,14.0,31.3,'04-05
25,26,Portland Trail Blazers,82,27,55,.329,3946,48.4,0.303,17.5,33.1,47.9,0.271,14.7,35.0,'04-05
26,27,Utah Jazz,82,26,56,.317,3956,46.9,0.361,17.4,35.1,49.9,0.445,15.9,30.5,'04-05
27,28,Charlotte Bobcats,82,18,64,.220,3976,45.5,0.306,15.4,32.7,49.7,0.350,16.7,32.4,'04-05
28,28,New Orleans Hornets,82,18,64,.220,3986,44.6,0.279,16.5,32.9,49.1,0.337,15.8,32.5,'04-05
29,30,Atlanta Hawks,82,13,69,.159,3971,46.4,0.299,17.1,32.6,51.3,0.375,15.7,30.4,'04-05
0,1,Detroit Pistons,82,64,18,.780,3966,49.7,0.297,12.8,31.7,47.7,0.260,15.7,32.0,'05-06
1,2,San Antonio Spurs,82,63,19,.768,3961,51.3,0.298,15.3,28.9,45.7,0.298,15.4,29.2,'05-06
2,3,Dallas Mavericks,82,60,22,.732,3976,49.5,0.364,15.0,34.7,47.5,0.342,15.6,31.0,'05-06
3,4,Phoenix Suns,82,54,28,.659,3991,53.7,0.206,13.5,25.6,49.0,0.274,15.1,31.0,'05-06
4,5,Miami Heat,82,52,30,.634,3951,51.7,0.363,15.6,29.7,47.7,0.340,14.0,27.4,'05-06
5,6,Cleveland Cavaliers,82,50,32,.610,3966,49.2,0.362,15.1,31.3,49.0,0.304,14.4,28.3,'05-06
6,7,Memphis Grizzlies,82,49,33,.598,3971,49.6,0.339,15.7,29.8,46.9,0.315,16.8,31.0,'05-06
7,7,New Jersey Nets,82,49,33,.598,3956,47.8,0.346,14.9,27.4,47.6,0.359,15.7,27.0,'05-06
8,9,Los Angeles Clippers,82,47,35,.573,3961,48.7,0.332,15.4,28.6,47.1,0.328,13.7,28.1,'05-06
9,10,Los Angeles Lakers,82,45,37,.549,3971,49.5,0.329,15.0,31.6,48.6,0.324,15.2,29.9,'05-06
10,11,Denver Nuggets,82,44,38,.537,3986,48.8,0.347,15.4,30.0,49.3,0.309,16.8,31.8,'05-06
11,11,Sacramento Kings,82,44,38,.537,3966,49.2,0.334,15.6,28.9,48.8,0.281,15.6,30.6,'05-06
12,13,Washington Wizards,82,42,40,.512,3966,48.4,0.375,14.8,32.9,50.4,0.343,17.1,32.1,'05-06
13,14,Chicago Bulls,82,41,41,.500,3981,48.7,0.292,15.8,30.3,46.4,0.379,15.8,29.7,'05-06
14,14,Indiana Pacers,82,41,41,.500,3946,48.7,0.344,16.8,30.4,46.4,0.317,14.9,30.1,'05-06
15,14,Utah Jazz,82,41,41,.500,3976,46.7,0.397,17.4,35.6,49.0,0.406,15.7,29.8,'05-06
16,17,Milwaukee Bucks,82,40,42,.488,3971,49.2,0.322,15.7,30.9,50.4,0.350,15.4,28.7,'05-06
17,18,New Orleans/Oklahoma City Hornets,82,38,44,.463,3961,46.4,0.339,14.7,29.7,50.2,0.320,16.0,29.1,'05-06
18,18,Philadelphia 76ers,82,38,44,.463,3981,48.7,0.356,14.9,28.5,50.0,0.315,16.3,32.4,'05-06
19,20,Orlando Magic,82,36,46,.439,3981,49.6,0.369,16.8,33.0,49.0,0.361,14.9,30.9,'05-06
20,21,Seattle SuperSonics,82,35,47,.427,3966,50.4,0.314,15.7,34.0,52.7,0.342,15.5,34.1,'05-06
21,22,Golden State Warriors,82,34,48,.415,3966,47.9,0.323,14.8,29.6,49.2,0.328,16.1,31.4,'05-06
22,22,Houston Rockets,82,34,48,.415,3966,47.1,0.317,16.2,29.1,47.2,0.338,14.9,29.5,'05-06
23,24,Boston Celtics,82,33,49,.402,3976,50.4,0.349,17.6,28.9,49.0,0.380,15.7,30.6,'05-06
24,24,Minnesota Timberwolves,82,33,49,.402,3971,48.0,0.299,16.0,29.6,47.5,0.320,15.4,32.7,'05-06
25,26,Toronto Raptors,82,27,55,.329,3991,50.0,0.315,13.9,28.6,53.0,0.352,15.2,30.3,'05-06
26,27,Atlanta Hawks,82,26,56,.317,3976,48.6,0.340,16.9,33.4,51.3,0.369,16.2,33.3,'05-06
27,27,Charlotte Bobcats,82,26,56,.317,3981,46.4,0.319,14.9,30.5,51.4,0.356,18.7,32.2,'05-06
28,29,New York Knicks,82,23,59,.280,3986,48.1,0.417,19.0,34.2,51.1,0.390,15.1,30.3,'05-06
29,30,Portland Trail Blazers,82,21,61,.256,3946,47.4,0.310,16.5,30.8,50.7,0.305,14.5,34.3,'05-06
0,1,Dallas Mavericks,82,67,15,.817,3951,50.9,0.317,15.2,32.0,47.7,0.355,16.0,28.1,'06-07
1,2,Phoenix Suns,82,61,21,.744,3981,55.1,0.267,14.9,26.2,49.2,0.268,15.5,31.7,'06-07
2,3,San Antonio Spurs,82,58,24,.707,3956,52.1,0.313,15.3,27.9,47.1,0.272,15.8,28.5,'06-07
3,4,Detroit Pistons,82,53,29,.646,3976,48.8,0.307,13.7,30.7,47.7,0.317,16.4,32.2,'06-07
4,5,Houston Rockets,82,52,30,.634,3971,49.9,0.292,15.3,28.7,46.6,0.308,15.4,27.5,'06-07
5,6,Utah Jazz,82,51,31,.622,3961,50.2,0.380,16.7,35.2,49.6,0.409,16.1,27.9,'06-07
6,7,Cleveland Cavaliers,82,50,32,.610,3976,48.4,0.320,15.5,32.7,48.0,0.331,16.6,27.9,'06-07
7,8,Chicago Bulls,82,49,33,.598,3956,49.3,0.313,16.8,31.9,47.3,0.346,18.4,29.3,'06-07
8,9,Toronto Raptors,82,47,35,.573,3951,50.4,0.303,14.3,25.0,50.3,0.290,16.1,28.9,'06-07
9,10,Denver Nuggets,82,45,37,.549,3956,50.1,0.360,16.7,32.2,49.9,0.274,16.6,32.2,'06-07
10,11,Miami Heat,82,44,38,.537,3971,50.6,0.321,16.0,27.9,48.5,0.313,15.8,30.7,'06-07
11,12,Golden State Warriors,82,42,40,.512,3951,51.2,0.300,15.9,28.5,50.6,0.352,18.5,33.8,'06-07
12,12,Los Angeles Lakers,82,42,40,.512,4006,51.1,0.333,16.1,30.0,50.0,0.345,15.3,31.0,'06-07
13,14,New Jersey Nets,82,41,41,.500,3976,50.4,0.338,15.8,27.5,49.0,0.349,15.5,28.6,'06-07
14,14,Washington Wizards,82,41,41,.500,3966,49.1,0.356,14.4,31.2,51.7,0.320,16.4,32.2,'06-07
15,16,Los Angeles Clippers,82,40,42,.488,3946,48.1,0.355,16.4,30.7,48.8,0.333,15.0,28.8,'06-07
